ASCT+B-FTU Crosswalk Table of Left Lung's Left Superior Lobar Bronchus,,,,,,,,
,,,,,,,,
Author Name(s):,Fauzan Isnaini,,,,,,,
Image Source:,"OpenStax, L. L. &amp;. (n.d.). Anatomy and physiology ii. Lumen. Retrieved September 16, 2021, from https://courses.lumenlearning.com/ap2/chapter/anatomy-of-the-lymphatic-and-immune-systems/. ",,,,,,,
Date:,9/15/2021,,,,,,,
Version Number:,1,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
svg_id,label,OntologyID,representation_of,exist_asctb,type,REF,REF/DOI,REF/NOTES
ciliated_cell_of_the_bronchus_2,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_3,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_4,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_5,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_6,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_7,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_8,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_9,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_10,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_11,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_12,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_13,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_14,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_15,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_16,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_17,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_18,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_19,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
