ASCT+B-FTU Crosswalk Table for Renal Corpuscle,,,,,,,,
,,,,,,,,
Author Name(s):,Fauzan Isnaini,,,,,,,
Image Source:,Explorer. [Online]. Available: https://atlas.kpmp.org/explorer/. [Accessed: 04-Aug-2021].,,,,,,,
Date:,7/15/2021,,,,,,,
Version Number:,1,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
svg_id,label,OntologyID,representation_of,exist_asctb,type,REF,REF/DOI,REF/NOTES
renal_efferent_arteriole_5,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_efferent_arteriole_6,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_efferent_arteriole_7,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_efferent_arteriole_8,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_efferent_arteriole_9,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_efferent_arteriole_10,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_efferent_arteriole_11,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_efferent_arteriole_12,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_efferent_arteriole_13,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_efferent_arteriole_14,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
renal_efferent_arteriole_15,renal efferent arteriole,UBERON:0004640,http://purl.obolibrary.org/obo/UBERON_0004640,1,AS,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
parietal_epithelial_cells,parietal epithelial cell,CL:1000452,http://purl.obolibrary.org/obo/CL_1000452,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
podocytes,glomerular visceral epithelial cell,CL:0000653,http://purl.obolibrary.org/obo/CL_0000653,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_capillary_endothelium_1,glomerular capillary endothelial cell,CL:1001005,http://purl.obolibrary.org/obo/CL_1001005,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_capillary_endothelium_2,glomerular capillary endothelial cell,CL:1001005,http://purl.obolibrary.org/obo/CL_1001005,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_1,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_2,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_3,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_4,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_5,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_6,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_7,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_8,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_9,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_10,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_11,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_12,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_13,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
glomerular_mesangial_cell_14,glomerular mesangial cell,CL:1000742,http://purl.obolibrary.org/obo/CL_1000742,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
juxtaglomerular_granular_cell,kidney granular cell,CL:0000648,http://purl.obolibrary.org/obo/CL_0000648,1,CT,PMID: 31249312. PMCID: PMC6597610,DOI: 10.1038/s41467-019-10861-2,
