svg_id,reference_name
g2174,epithelial_stem_cell
g2887,enteroendocrine_cell
entero0101,enteroendocrine_cell
g2851,absorptive_cell
g2871,goblet_cell
g2775,absorptive_cell
g2802,goblet_cell
g2165,epithelial_stem_cell
g2696,absorptive_cell
g2075,goblet_cell
g2556,absorptive_cell
g1936,enteroendocrine_cell
g2714,goblet_cell
g2198,goblet_cell
g1601,epithelium_of_crypt_of_Lieberkuhn
