reference_name,label,OntologyID,representation_of,exist_asctb,type
pulmonary_alveolar_parenchyma,pulmonary alveolar parenchyma,UBERON:0008870,http://purl.obolibrary.org/obo/UBERON_0008870,1,AS
pulmonary_capillary,pulmonary capillary,UBERON:0016405,http://purl.obolibrary.org/obo/UBERON_0016405,1,AS
respiratory_system_lymphatic_vessel_endothelium,respiratory system lymphatic vessel endothelium,UBERON:0003529,http://purl.obolibrary.org/obo/UBERON_0003529,1,AS
type_I_pneumocyte,type I pneumocyte,CL:0002062,http://purl.obolibrary.org/obo/CL_0002062,1,CT
type_II_pneumocyte,type II pneumocyte,CL:0002063,http://purl.obolibrary.org/obo/CL_0002063,1,CT
pericyte_cell,pericyte cell,CL:0000669,http://purl.obolibrary.org/obo/CL_0000669,1,CT
endothelial_cell_of_lymphatic_vessel,endothelial cell of lymphatic vessel,CL:0002138,http://purl.obolibrary.org/obo/CL_0002138,1,CT
