svg_id,reference_name
LAYER_EFO,pulmonary_alveolar_parenchyma
g14,pulmonary_capillary
g18,pulmonary_capillary
g10,pulmonary_capillary
g6,pulmonary_capillary
path71,respiratory_system_lymphatic_vessel_endothelium
CL_0002062,type_I_pneumocyte
CL_0002063,type_II_pneumocyte
g79,pericyte_cell
g83,pericyte_cell
path74,endothelial_cell_of_lymphatic_vessel
